source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[individual]	characteristics[ancestry category]	characteristics[cell type]	characteristics[cell line]	characteristics[material type]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[sample preparation batch]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[carrier channel]	comment[reference channel]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[facs nozzle size]	comment[facs sorting mode]	comment[microfluidics chip type]	comment[lcm microscope model]	comment[nanopots chip version]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
FigS3A_2363_onlyNonIR_1	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	U2OS	cell	single cell	not applicable	FigS3A_2363_onlyNonIR_1	1	16	FigS3A_2363_onlyNonIR_1	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	FigS3A_2363_onlyNonIR_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/07/PXD034370/FigS3A_2363_onlyNonIR_1.raw	1	TMT128C	not available	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	NT=HCD;AC=MS:1002481	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Fig4_2206_S1	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	U2OS	cell	single cell	not applicable	Fig4_2206_S1	1	17	Fig4_2206_S1	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Fig4_2206_S1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/07/PXD034370/Fig4_2206_S1.raw	1	TMT129N	not available	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	NT=HCD;AC=MS:1002481	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
FigS3A_2363_onlyIR_1	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	U2OS	cell	single cell	not applicable	FigS3A_2363_onlyIR_1	1	18	FigS3A_2363_onlyIR_1	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	FigS3A_2363_onlyIR_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/07/PXD034370/FigS3A_2363_onlyIR_1.raw	1	TMT129C	not available	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	NT=HCD;AC=MS:1002481	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
FigS2D_2178_200T	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	U2OS	cell	single cell	not applicable	FigS2D_2178_200T	1	19	FigS2D_2178_200T	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	FigS2D_2178_200T.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/07/PXD034370/FigS2D_2178_200T.raw	1	TMT130N	not available	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	NT=HCD;AC=MS:1002481	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
FigS2B_SC	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	U2OS	cell	single cell	not applicable	FigS2B_SC	1	20	FigS2B_SC	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	FigS2B_SC.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/07/PXD034370/FigS2B_SC.raw	1	TMT130C	not available	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	NT=HCD;AC=MS:1002481	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
FigS2C_2363_mixPT_2	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	U2OS	cell	single cell	not applicable	FigS2C_2363_mixPT_2	1	21	FigS2C_2363_mixPT_2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	FigS2C_2363_mixPT_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/07/PXD034370/FigS2C_2363_mixPT_2.raw	1	TMT131N	not available	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	NT=HCD;AC=MS:1002481	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
FigS3A_2363_onlyNonIR_3	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	U2OS	cell	single cell	not applicable	FigS3A_2363_onlyNonIR_3	1	22	FigS3A_2363_onlyNonIR_3	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	FigS3A_2363_onlyNonIR_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/07/PXD034370/FigS3A_2363_onlyNonIR_3.raw	1	TMT131C	not available	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	NT=HCD;AC=MS:1002481	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Fig4_2206_S2	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	U2OS	cell	single cell	not applicable	Fig4_2206_S2	1	23	Fig4_2206_S2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Fig4_2206_S2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/07/PXD034370/Fig4_2206_S2.raw	1	TMT126	not available	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	NT=HCD;AC=MS:1002481	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
FigS2A_2195_5E6_300	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	U2OS	cell	single cell	not applicable	FigS2A_2195_5E6_300	1	24	FigS2A_2195_5E6_300	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	FigS2A_2195_5E6_300.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/07/PXD034370/FigS2A_2195_5E6_300.raw	1	TMT127N	not available	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	NT=HCD;AC=MS:1002481	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Fig4_2236_S2	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	U2OS	cell	single cell	not applicable	Fig4_2236_S2	1	25	Fig4_2236_S2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Fig4_2236_S2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/07/PXD034370/Fig4_2236_S2.raw	1	TMT127C	not available	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	NT=HCD;AC=MS:1002481	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
FigS2A_2195_5E5_500	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	U2OS	cell	single cell	not applicable	FigS2A_2195_5E5_500	1	26	FigS2A_2195_5E5_500	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	FigS2A_2195_5E5_500.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/07/PXD034370/FigS2A_2195_5E5_500.raw	1	TMT128N	not available	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	NT=HCD;AC=MS:1002481	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
