source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[individual]	characteristics[ancestry category]	characteristics[cell type]	characteristics[cell line]	characteristics[material type]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[sample preparation batch]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[carrier channel]	comment[reference channel]	comment[instrument]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[facs nozzle size]	comment[facs sorting mode]	comment[microfluidics chip type]	comment[lcm microscope model]	comment[nanopots chip version]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
1cell_THP1_1	Homo sapiens	Hela cell	not available	not available	not available	not available	not available	not available	not available	HeLa; THP-1	cell	single cell	manual picking	1cell_THP1_1	1	11	1cell_THP1_1	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	1cell_THP1_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/10/PXD035339/1cell_THP1_1.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	not applicable	NT=CID;AC=MS:1000133	10% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
1min_sprayvoltage_3	Homo sapiens	Hela cell	not available	not available	not available	not available	not available	not available	not available	HeLa; THP-1	cell	single cell	manual picking	1min_sprayvoltage_3	1	12	1min_sprayvoltage_3	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	1min_sprayvoltage_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/10/PXD035339/1min_sprayvoltage_3.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	not applicable	NT=CID;AC=MS:1000133	10% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
suspension_buffer_3	Homo sapiens	Hela cell	not available	not available	not available	not available	not available	not available	not available	HeLa; THP-1	cell	single cell	manual picking	suspension_buffer_3	1	13	suspension_buffer_3	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	suspension_buffer_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/10/PXD035339/suspension_buffer_3.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	not applicable	NT=CID;AC=MS:1000133	10% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2min_sprayvoltage_1	Homo sapiens	Hela cell	not available	not available	not available	not available	not available	not available	not available	HeLa; THP-1	cell	single cell	manual picking	2min_sprayvoltage_1	1	14	2min_sprayvoltage_1	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	2min_sprayvoltage_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/10/PXD035339/2min_sprayvoltage_1.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	not applicable	NT=CID;AC=MS:1000133	10% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2min_sprayvoltage_4	Homo sapiens	Hela cell	not available	not available	not available	not available	not available	not available	not available	HeLa; THP-1	cell	single cell	manual picking	2min_sprayvoltage_4	1	15	2min_sprayvoltage_4	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	2min_sprayvoltage_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/10/PXD035339/2min_sprayvoltage_4.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	not applicable	NT=CID;AC=MS:1000133	10% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2min_sprayvoltage_3	Homo sapiens	Hela cell	not available	not available	not available	not available	not available	not available	not available	HeLa; THP-1	cell	single cell	manual picking	2min_sprayvoltage_3	1	16	2min_sprayvoltage_3	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	2min_sprayvoltage_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/10/PXD035339/2min_sprayvoltage_3.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	not applicable	NT=CID;AC=MS:1000133	10% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
1min_sprayvoltage_4	Homo sapiens	Hela cell	not available	not available	not available	not available	not available	not available	not available	HeLa; THP-1	cell	single cell	manual picking	1min_sprayvoltage_4	1	17	1min_sprayvoltage_4	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	1min_sprayvoltage_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/10/PXD035339/1min_sprayvoltage_4.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	not applicable	NT=CID;AC=MS:1000133	10% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
1cell_HeLa_3	Homo sapiens	Hela cell	not available	not available	not available	not available	not available	not available	not available	HeLa; THP-1	cell	single cell	manual picking	1cell_HeLa_3	1	18	1cell_HeLa_3	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	1cell_HeLa_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/10/PXD035339/1cell_HeLa_3.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	not applicable	NT=CID;AC=MS:1000133	10% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2min_sprayvoltage_2	Homo sapiens	Hela cell	not available	not available	not available	not available	not available	not available	not available	HeLa; THP-1	cell	single cell	manual picking	2min_sprayvoltage_2	1	19	2min_sprayvoltage_2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	2min_sprayvoltage_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/10/PXD035339/2min_sprayvoltage_2.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	not applicable	NT=CID;AC=MS:1000133	10% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
1cell_THP1_2	Homo sapiens	Hela cell	not available	not available	not available	not available	not available	not available	not available	HeLa; THP-1	cell	single cell	manual picking	1cell_THP1_2	1	20	1cell_THP1_2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	1cell_THP1_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/10/PXD035339/1cell_THP1_2.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	not applicable	NT=CID;AC=MS:1000133	10% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
1min_sprayvoltage_2	Homo sapiens	Hela cell	not available	not available	not available	not available	not available	not available	not available	HeLa; THP-1	cell	single cell	manual picking	1min_sprayvoltage_2	1	21	1min_sprayvoltage_2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	1min_sprayvoltage_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/10/PXD035339/1min_sprayvoltage_2.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	not applicable	NT=CID;AC=MS:1000133	10% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
suspension_buffer_1	Homo sapiens	Hela cell	not available	not available	not available	not available	not available	not available	not available	HeLa; THP-1	cell	single cell	manual picking	suspension_buffer_1	1	22	suspension_buffer_1	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	suspension_buffer_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/10/PXD035339/suspension_buffer_1.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	not applicable	NT=CID;AC=MS:1000133	10% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
1cell_HeLa_1	Homo sapiens	Hela cell	not available	not available	not available	not available	not available	not available	not available	HeLa; THP-1	cell	single cell	manual picking	1cell_HeLa_1	1	23	1cell_HeLa_1	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	1cell_HeLa_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/10/PXD035339/1cell_HeLa_1.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	not applicable	NT=CID;AC=MS:1000133	10% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
