source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[sample preparation batch]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[carrier channel]	comment[reference channel]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[facs nozzle size]	comment[facs sorting mode]	comment[microfluidics chip type]	comment[lcm microscope model]	comment[nanopots chip version]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
FL763_20180302_SimonDavis_Ex40_61	Homo sapiens	Brain	not available	not available	tissue	single cell	laser capture microdissection	FL763_20180302_SimonDavis_Ex40_61	1	11	FL763_20180302_SimonDavis_Ex40_61	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	FL763_20180302_SimonDavis_Ex40_61.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012101/FL763_20180302_SimonDavis_Ex40_61.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	1500% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
FL763_20180302_SimonDavis_Ex40_17	Homo sapiens	Brain	not available	not available	tissue	single cell	laser capture microdissection	FL763_20180302_SimonDavis_Ex40_17	1	12	FL763_20180302_SimonDavis_Ex40_17	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	FL763_20180302_SimonDavis_Ex40_17.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012101/FL763_20180302_SimonDavis_Ex40_17.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	1500% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
FL763_20180302_SimonDavis_Ex40_49	Homo sapiens	Brain	not available	not available	tissue	single cell	laser capture microdissection	FL763_20180302_SimonDavis_Ex40_49	1	13	FL763_20180302_SimonDavis_Ex40_49	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	FL763_20180302_SimonDavis_Ex40_49.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012101/FL763_20180302_SimonDavis_Ex40_49.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	1500% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
FL0476_MSQ1031_20170429_cells100	Homo sapiens	Brain	not available	not available	tissue	single cell	laser capture microdissection	FL0476_MSQ1031_20170429_cells100	1	14	FL0476_MSQ1031_20170429_cells100	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	FL0476_MSQ1031_20170429_cells100.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012101/FL0476_MSQ1031_20170429_cells100.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	1500% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
FL894_MSQ1375_20180618_ConnorScott_Purkinje_1	Homo sapiens	Brain	not available	not available	tissue	single cell	laser capture microdissection	FL894_MSQ1375_20180618_ConnorScott_Purkinje_1	1	15	FL894_MSQ1375_20180618_ConnorScott_Purkinje_1	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	FL894_MSQ1375_20180618_ConnorScott_Purkinje_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012101/FL894_MSQ1375_20180618_ConnorScott_Purkinje_1.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	1500% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
FL0476_MSQ1031_20170429_cells400	Homo sapiens	Brain	not available	not available	tissue	single cell	laser capture microdissection	FL0476_MSQ1031_20170429_cells400	1	16	FL0476_MSQ1031_20170429_cells400	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	FL0476_MSQ1031_20170429_cells400.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012101/FL0476_MSQ1031_20170429_cells400.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	1500% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
FL763_20180302_SimonDavis_Ex40_62	Homo sapiens	Brain	not available	not available	tissue	single cell	laser capture microdissection	FL763_20180302_SimonDavis_Ex40_62	1	17	FL763_20180302_SimonDavis_Ex40_62	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	FL763_20180302_SimonDavis_Ex40_62.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012101/FL763_20180302_SimonDavis_Ex40_62.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	1500% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
FL763_20180302_SimonDavis_Ex40_60	Homo sapiens	Brain	not available	not available	tissue	single cell	laser capture microdissection	FL763_20180302_SimonDavis_Ex40_60	1	18	FL763_20180302_SimonDavis_Ex40_60	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	FL763_20180302_SimonDavis_Ex40_60.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012101/FL763_20180302_SimonDavis_Ex40_60.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	1500% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
FL763_20180302_SimonDavis_Ex40_36	Homo sapiens	Brain	not available	not available	tissue	single cell	laser capture microdissection	FL763_20180302_SimonDavis_Ex40_36	1	19	FL763_20180302_SimonDavis_Ex40_36	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	FL763_20180302_SimonDavis_Ex40_36.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012101/FL763_20180302_SimonDavis_Ex40_36.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	1500% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
FL763_20180302_SimonDavis_Ex40_59	Homo sapiens	Brain	not available	not available	tissue	single cell	laser capture microdissection	FL763_20180302_SimonDavis_Ex40_59	1	20	FL763_20180302_SimonDavis_Ex40_59	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	FL763_20180302_SimonDavis_Ex40_59.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012101/FL763_20180302_SimonDavis_Ex40_59.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	1500% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
FL763_20180302_SimonDavis_Ex40_54	Homo sapiens	Brain	not available	not available	tissue	single cell	laser capture microdissection	FL763_20180302_SimonDavis_Ex40_54	1	21	FL763_20180302_SimonDavis_Ex40_54	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	FL763_20180302_SimonDavis_Ex40_54.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012101/FL763_20180302_SimonDavis_Ex40_54.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	1500% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
FL763_20180302_SimonDavis_Ex40_47	Homo sapiens	Brain	not available	not available	tissue	single cell	laser capture microdissection	FL763_20180302_SimonDavis_Ex40_47	1	22	FL763_20180302_SimonDavis_Ex40_47	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	FL763_20180302_SimonDavis_Ex40_47.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012101/FL763_20180302_SimonDavis_Ex40_47.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	1500% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
FL763_20180302_SimonDavis_Ex40_19	Homo sapiens	Brain	not available	not available	tissue	single cell	laser capture microdissection	FL763_20180302_SimonDavis_Ex40_19	1	23	FL763_20180302_SimonDavis_Ex40_19	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	FL763_20180302_SimonDavis_Ex40_19.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012101/FL763_20180302_SimonDavis_Ex40_19.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	1500% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
FL763_20180302_SimonDavis_Ex40_51	Homo sapiens	Brain	not available	not available	tissue	single cell	laser capture microdissection	FL763_20180302_SimonDavis_Ex40_51	1	24	FL763_20180302_SimonDavis_Ex40_51	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	FL763_20180302_SimonDavis_Ex40_51.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012101/FL763_20180302_SimonDavis_Ex40_51.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	1500% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
