source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[material type]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[sample preparation batch]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[carrier channel]	comment[reference channel]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[facs nozzle size]	comment[facs sorting mode]	comment[microfluidics chip type]	comment[lcm microscope model]	comment[nanopots chip version]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___9	Homo sapiens	Epithelial cell	Cervix carcinoma	Epithelial cell	HeLa	cell	single cell	microfluidics	20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___9	1	11	20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___9	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___9_.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/02/PXD039208/20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___9_.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=CID;AC=MS:1000133	11359367% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep08	Homo sapiens	Epithelial cell	Cervix carcinoma	Epithelial cell	HeLa	cell	single cell	microfluidics	20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep08	1	12	20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep08	proteomic profiling by mass spectrometry	1	run03	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep08.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/02/PXD039208/20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep08.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=CID;AC=MS:1000133	11359367% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep19	Homo sapiens	Epithelial cell	Cervix carcinoma	Epithelial cell	HeLa	cell	single cell	microfluidics	20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep19	1	13	20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep19	proteomic profiling by mass spectrometry	1	run03	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep19.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/02/PXD039208/20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep19.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=CID;AC=MS:1000133	11359367% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___3	Homo sapiens	Epithelial cell	Cervix carcinoma	Epithelial cell	HeLa	cell	single cell	microfluidics	20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___3	1	14	20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___3	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___3_.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/02/PXD039208/20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___3_.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=CID;AC=MS:1000133	11359367% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___16	Homo sapiens	Epithelial cell	Cervix carcinoma	Epithelial cell	HeLa	cell	single cell	microfluidics	20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___16	1	15	20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___16	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___16_.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/02/PXD039208/20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___16_.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=CID;AC=MS:1000133	11359367% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep15	Homo sapiens	Epithelial cell	Cervix carcinoma	Epithelial cell	HeLa	cell	single cell	microfluidics	20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep15	1	16	20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep15	proteomic profiling by mass spectrometry	1	run03	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep15.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/02/PXD039208/20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep15.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=CID;AC=MS:1000133	11359367% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___15	Homo sapiens	Epithelial cell	Cervix carcinoma	Epithelial cell	HeLa	cell	single cell	microfluidics	20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___15	1	17	20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___15	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___15_.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/02/PXD039208/20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___15_.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=CID;AC=MS:1000133	11359367% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep26	Homo sapiens	Epithelial cell	Cervix carcinoma	Epithelial cell	HeLa	cell	single cell	microfluidics	20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep26	1	18	20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep26	proteomic profiling by mass spectrometry	1	run03	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep26.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/02/PXD039208/20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep26.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=CID;AC=MS:1000133	11359367% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___27	Homo sapiens	Epithelial cell	Cervix carcinoma	Epithelial cell	HeLa	cell	single cell	microfluidics	20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___27	1	19	20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___27	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___27_.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/02/PXD039208/20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___27_.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=CID;AC=MS:1000133	11359367% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep11	Homo sapiens	Epithelial cell	Cervix carcinoma	Epithelial cell	HeLa	cell	single cell	microfluidics	20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep11	1	20	20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep11	proteomic profiling by mass spectrometry	1	run03	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/02/PXD039208/20221202_E0_Neo0_FAIMS_uPAC_5cm_pepmapPrecol_PG_run03_250pg_DDA_rep11.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=CID;AC=MS:1000133	11359367% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
