source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[sample preparation batch]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[carrier channel]	comment[reference channel]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[facs nozzle size]	comment[facs sorting mode]	comment[microfluidics chip type]	comment[lcm microscope model]	comment[nanopots chip version]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
DTT_only_1stepmix_2C8_blank_channel1	Homo sapiens	Epithelial cell	not available	Epithelial cell	cell	empty	cellenONE	empty	0	11	DTT_only_1stepmix_2C8_blank_channel1	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	DTT_only_1stepmix_2C8_blank_channel1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD041879/DTT_only_1stepmix_2C8_blank_channel1.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	30% NCE	not available	not available	not applicable	not applicable	nanowell chip	not applicable	nanoPOTS preparation was performed following the	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
DTT_only_1stepmix_1B9_channel2	Homo sapiens	Epithelial cell	not available	Epithelial cell	cell	single cell	cellenONE	DTT_only_1stepmix_1B9_channel2	1	12	DTT_only_1stepmix_1B9_channel2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	DTT_only_1stepmix_1B9_channel2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD041879/DTT_only_1stepmix_1B9_channel2.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	30% NCE	not available	not available	not applicable	not applicable	nanowell chip	not applicable	nanoPOTS preparation was performed following the	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Polypropylene_rapid_10ngQC_1	Homo sapiens	Epithelial cell	not available	Epithelial cell	cell	bulk control	cellenONE	Polypropylene_rapid_10ngQC_1	not applicable	13	Polypropylene_rapid_10ngQC_1	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Polypropylene_rapid_10ngQC_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD041879/Polypropylene_rapid_10ngQC_1.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	30% NCE	not available	not available	not applicable	not applicable	nanowell chip	not applicable	nanoPOTS preparation was performed following the	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Substrate_comp_Rapid_Method_Polypropylenechip_4a	Homo sapiens	Epithelial cell	not available	Epithelial cell	cell	single cell	cellenONE	Substrate_comp_Rapid_Method_Polypropylenechip_4a	1	14	Substrate_comp_Rapid_Method_Polypropylenechip_4a	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Substrate_comp_Rapid_Method_Polypropylenechip_4a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD041879/Substrate_comp_Rapid_Method_Polypropylenechip_4a.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	30% NCE	not available	not available	not applicable	not applicable	nanowell chip	not applicable	nanoPOTS preparation was performed following the	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
DDMandDTT_1stepmix_1A10_channel1	Homo sapiens	Epithelial cell	not available	Epithelial cell	cell	single cell	cellenONE	DDMandDTT_1stepmix_1A10_channel1	1	15	DDMandDTT_1stepmix_1A10_channel1	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	DDMandDTT_1stepmix_1A10_channel1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD041879/DDMandDTT_1stepmix_1A10_channel1.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	30% NCE	not available	not available	not applicable	not applicable	nanowell chip	not applicable	nanoPOTS preparation was performed following the	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
3_DTT_only_3C9_channel1	Homo sapiens	Epithelial cell	not available	Epithelial cell	cell	single cell	cellenONE	3_DTT_only_3C9_channel1	1	16	3_DTT_only_3C9_channel1	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	3_DTT_only_3C9_channel1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD041879/3_DTT_only_3C9_channel1.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	30% NCE	not available	not available	not applicable	not applicable	nanowell chip	not applicable	nanoPOTS preparation was performed following the	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
3_DDMDTT_3A10_channel2	Homo sapiens	Epithelial cell	not available	Epithelial cell	cell	single cell	cellenONE	3_DDMDTT_3A10_channel2	1	17	3_DDMDTT_3A10_channel2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	3_DDMDTT_3A10_channel2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD041879/3_DDMDTT_3A10_channel2.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	30% NCE	not available	not available	not applicable	not applicable	nanowell chip	not applicable	nanoPOTS preparation was performed following the	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2_DDMDTT_2A1_channel2	Homo sapiens	Epithelial cell	not available	Epithelial cell	cell	single cell	cellenONE	2_DDMDTT_2A1_channel2	1	18	2_DDMDTT_2A1_channel2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	2_DDMDTT_2A1_channel2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD041879/2_DDMDTT_2A1_channel2.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	30% NCE	not available	not available	not applicable	not applicable	nanowell chip	not applicable	nanoPOTS preparation was performed following the	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Substrate_comp_nanoPOTSChip_Rapid_Method_2a	Homo sapiens	Epithelial cell	not available	Epithelial cell	cell	single cell	cellenONE	Substrate_comp_nanoPOTSChip_Rapid_Method_2a	1	19	Substrate_comp_nanoPOTSChip_Rapid_Method_2a	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Substrate_comp_nanoPOTSChip_Rapid_Method_2a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD041879/Substrate_comp_nanoPOTSChip_Rapid_Method_2a.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	30% NCE	not available	not available	not applicable	not applicable	nanowell chip	not applicable	nanoPOTS preparation was performed following the	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
DTT_only_1stepmix_1A8_channel1	Homo sapiens	Epithelial cell	not available	Epithelial cell	cell	single cell	cellenONE	DTT_only_1stepmix_1A8_channel1	1	20	DTT_only_1stepmix_1A8_channel1	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	DTT_only_1stepmix_1A8_channel1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD041879/DTT_only_1stepmix_1A8_channel1.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	30% NCE	not available	not available	not applicable	not applicable	nanowell chip	not applicable	nanoPOTS preparation was performed following the	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Substrate_comp_Standard_Method_NanoPOTSchip_5a	Homo sapiens	Epithelial cell	not available	Epithelial cell	cell	bulk control	cellenONE	Substrate_comp_Standard_Method_NanoPOTSchip_5a	not applicable	21	Substrate_comp_Standard_Method_NanoPOTSchip_5a	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Substrate_comp_Standard_Method_NanoPOTSchip_5a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD041879/Substrate_comp_Standard_Method_NanoPOTSchip_5a.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	30% NCE	not available	not available	not applicable	not applicable	nanowell chip	not applicable	nanoPOTS preparation was performed following the	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Tryp_LysC_only_1stepmix_2C4_blank_channel1	Homo sapiens	Epithelial cell	not available	Epithelial cell	cell	empty	cellenONE	empty	0	22	Tryp_LysC_only_1stepmix_2C4_blank_channel1	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Tryp_LysC_only_1stepmix_2C4_blank_channel1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD041879/Tryp_LysC_only_1stepmix_2C4_blank_channel1.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	30% NCE	not available	not available	not applicable	not applicable	nanowell chip	not applicable	nanoPOTS preparation was performed following the	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
