source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[sex]	characteristics[cell type]	characteristics[material type]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[sample preparation batch]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[carrier channel]	comment[reference channel]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[facs nozzle size]	comment[facs sorting mode]	comment[microfluidics chip type]	comment[lcm microscope model]	comment[nanopots chip version]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
InVitroAgingOocyte_DIA_Aging_R5_20220123	Mus musculus	Oocyte	not available	embryonic stage	not available	not available	Oocyte	cell	single cell	not applicable	InVitroAgingOocyte_DIA_Aging_R5_20220123	1	11	InVitroAgingOocyte_DIA_Aging_R5_20220123	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	InVitroAgingOocyte_DIA_Aging_R5_20220123.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD045614/InVitroAgingOocyte_DIA_Aging_R5_20220123.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	30% NCE	15 Da	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
GV-MII-Zygote-HPRP-library-F11_20211226	Mus musculus	Oocyte	not available	embryonic stage	not available	not available	Oocyte	cell	single cell	not applicable	GV-MII-Zygote-HPRP-library-F11_20211226	1	12	GV-MII-Zygote-HPRP-library-F11_20211226	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	GV-MII-Zygote-HPRP-library-F11_20211226.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD045614/GV-MII-Zygote-HPRP-library-F11_20211226.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	30% NCE	15 Da	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
GV-MII-Zygote-HPRP-library-F7_20211225	Mus musculus	Oocyte	not available	embryonic stage	not available	not available	Oocyte	cell	single cell	not applicable	GV-MII-Zygote-HPRP-library-F7_20211225	1	13	GV-MII-Zygote-HPRP-library-F7_20211225	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	GV-MII-Zygote-HPRP-library-F7_20211225.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD045614/GV-MII-Zygote-HPRP-library-F7_20211225.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	30% NCE	15 Da	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
R3-Wash-300nl-min_20220127002050	Mus musculus	Oocyte	not available	embryonic stage	not available	not available	Oocyte	cell	single cell	not applicable	R3-Wash-300nl-min_20220127002050	1	14	R3-Wash-300nl-min_20220127002050	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	R3-Wash-300nl-min_20220127002050.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD045614/R3-Wash-300nl-min_20220127002050.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	30% NCE	15 Da	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
InVitroAgingOocyte_DIA_Aging_R7_20220123	Mus musculus	Oocyte	not available	embryonic stage	not available	not available	Oocyte	cell	single cell	not applicable	InVitroAgingOocyte_DIA_Aging_R7_20220123	1	15	InVitroAgingOocyte_DIA_Aging_R7_20220123	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	InVitroAgingOocyte_DIA_Aging_R7_20220123.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD045614/InVitroAgingOocyte_DIA_Aging_R7_20220123.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	30% NCE	15 Da	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
InVitroAgingOocyte_DIA_Fresh_R6_20220123	Mus musculus	Oocyte	not available	embryonic stage	not available	not available	Oocyte	cell	single cell	not applicable	InVitroAgingOocyte_DIA_Fresh_R6_20220123	1	16	InVitroAgingOocyte_DIA_Fresh_R6_20220123	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	InVitroAgingOocyte_DIA_Fresh_R6_20220123.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD045614/InVitroAgingOocyte_DIA_Fresh_R6_20220123.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	30% NCE	15 Da	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
GV-MII-Zygote-HPRP-library-F6_20211225	Mus musculus	Oocyte	not available	embryonic stage	not available	not available	Oocyte	cell	single cell	not applicable	GV-MII-Zygote-HPRP-library-F6_20211225	1	17	GV-MII-Zygote-HPRP-library-F6_20211225	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	GV-MII-Zygote-HPRP-library-F6_20211225.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD045614/GV-MII-Zygote-HPRP-library-F6_20211225.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	30% NCE	15 Da	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
InVitroAgingOocyte_DIA_Fresh_R1_20220123	Mus musculus	Oocyte	not available	embryonic stage	not available	not available	Oocyte	cell	single cell	not applicable	InVitroAgingOocyte_DIA_Fresh_R1_20220123	1	18	InVitroAgingOocyte_DIA_Fresh_R1_20220123	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	InVitroAgingOocyte_DIA_Fresh_R1_20220123.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD045614/InVitroAgingOocyte_DIA_Fresh_R1_20220123.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	30% NCE	15 Da	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
InVitroAgingOocyte_DIA_Fresh_R5_20220123	Mus musculus	Oocyte	not available	embryonic stage	not available	not available	Oocyte	cell	single cell	not applicable	InVitroAgingOocyte_DIA_Fresh_R5_20220123	1	19	InVitroAgingOocyte_DIA_Fresh_R5_20220123	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	InVitroAgingOocyte_DIA_Fresh_R5_20220123.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD045614/InVitroAgingOocyte_DIA_Fresh_R5_20220123.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	30% NCE	15 Da	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
GV-MII-Zygote-HPRP-library-F12_20211226	Mus musculus	Oocyte	not available	embryonic stage	not available	not available	Oocyte	cell	single cell	not applicable	GV-MII-Zygote-HPRP-library-F12_20211226	1	20	GV-MII-Zygote-HPRP-library-F12_20211226	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	GV-MII-Zygote-HPRP-library-F12_20211226.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD045614/GV-MII-Zygote-HPRP-library-F12_20211226.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	30% NCE	15 Da	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
R1-Wash-300nl-min_20220123044840	Mus musculus	Oocyte	not available	embryonic stage	not available	not available	Oocyte	cell	single cell	not applicable	R1-Wash-300nl-min_20220123044840	1	21	R1-Wash-300nl-min_20220123044840	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	R1-Wash-300nl-min_20220123044840.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD045614/R1-Wash-300nl-min_20220123044840.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	30% NCE	15 Da	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
SingleMII_Fresh_R3_20230227	Mus musculus	Oocyte	not available	embryonic stage	not available	not available	Oocyte	cell	single cell	not applicable	SingleMII_Fresh_R3_20230227	1	22	SingleMII_Fresh_R3_20230227	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	SingleMII_Fresh_R3_20230227.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD045614/SingleMII_Fresh_R3_20230227.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	30% NCE	15 Da	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
