source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[sex]	characteristics[cell type]	characteristics[material type]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[sample preparation batch]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[carrier channel]	comment[reference channel]	comment[instrument]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[facs nozzle size]	comment[facs sorting mode]	comment[microfluidics chip type]	comment[lcm microscope model]	comment[nanopots chip version]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
2016-10-10_CL06_32cell1_10-06_4	Danio rerio	Embryo	not available	embryonic stage	not available	not available	Stem cell	cell	pooled	manual picking	2016-10-10_CL06_32cell1_10-06_4	32	11	2016-10-10_CL06_32cell1_10-06_4	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	2016-10-10_CL06_32cell1_10-06_4.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD006905/2016-10-10_CL06_32cell1_10-06_4.RAW	1	label free sample	not applicable	not applicable	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2016-12-06_CL02_Zeb_2cells_3-1	Danio rerio	Embryo	not available	embryonic stage	not available	not available	Stem cell	cell	pooled	manual picking	2016-12-06_CL02_Zeb_2cells_3-1	2	12	2016-12-06_CL02_Zeb_2cells_3-1	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	2016-12-06_CL02_Zeb_2cells_3-1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD006905/2016-12-06_CL02_Zeb_2cells_3-1.RAW	1	label free sample	not applicable	not applicable	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2016-10-10_CL05_32cell1_10-06_3	Danio rerio	Embryo	not available	embryonic stage	not available	not available	Stem cell	cell	pooled	manual picking	2016-10-10_CL05_32cell1_10-06_3	32	13	2016-10-10_CL05_32cell1_10-06_3	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	2016-10-10_CL05_32cell1_10-06_3.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD006905/2016-10-10_CL05_32cell1_10-06_3.RAW	1	label free sample	not applicable	not applicable	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2016-08-25_CL03_64cells-2_8-16_1	Danio rerio	Embryo	not available	embryonic stage	not available	not available	Stem cell	cell	pooled	manual picking	2016-08-25_CL03_64cells-2_8-16_1	64	14	2016-08-25_CL03_64cells-2_8-16_1	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	2016-08-25_CL03_64cells-2_8-16_1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD006905/2016-08-25_CL03_64cells-2_8-16_1.RAW	1	label free sample	not applicable	not applicable	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2016-07-27_CL04_nESI_D11_u-AmmBic_1-3	Danio rerio	Embryo	not available	embryonic stage	not available	not available	Stem cell	cell	single cell	manual picking	2016-07-27_CL04_nESI_D11_u-AmmBic_1-3	1	15	2016-07-27_CL04_nESI_D11_u-AmmBic_1-3	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	2016-07-27_CL04_nESI_D11_u-AmmBic_1-3.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD006905/2016-07-27_CL04_nESI_D11_u-AmmBic_1-3.RAW	1	label free sample	not applicable	not applicable	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2017-11-03_CL02_Cell5_10252017_2	Danio rerio	Embryo	not available	embryonic stage	not available	not available	Stem cell	cell	single cell	manual picking	2017-11-03_CL02_Cell5_10252017_2	1	16	2017-11-03_CL02_Cell5_10252017_2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	2017-11-03_CL02_Cell5_10252017_2.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD006905/2017-11-03_CL02_Cell5_10252017_2.RAW	1	label free sample	not applicable	not applicable	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2017-11-02_CL06_Cell5_10252017_1	Danio rerio	Embryo	not available	embryonic stage	not available	not available	Stem cell	cell	single cell	manual picking	2017-11-02_CL06_Cell5_10252017_1	1	17	2017-11-02_CL06_Cell5_10252017_1	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	2017-11-02_CL06_Cell5_10252017_1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD006905/2017-11-02_CL06_Cell5_10252017_1.RAW	1	label free sample	not applicable	not applicable	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2016-08-31_CL02_64cell_8-16_1	Danio rerio	Embryo	not available	embryonic stage	not available	not available	Stem cell	cell	pooled	manual picking	2016-08-31_CL02_64cell_8-16_1	64	18	2016-08-31_CL02_64cell_8-16_1	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	2016-08-31_CL02_64cell_8-16_1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD006905/2016-08-31_CL02_64cell_8-16_1.RAW	1	label free sample	not applicable	not applicable	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2017-09-08_CL05_1-cell_9_2	Danio rerio	Embryo	not available	embryonic stage	not available	not available	Stem cell	cell	single cell	manual picking	2017-09-08_CL05_1-cell_9_2	1	19	2017-09-08_CL05_1-cell_9_2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	2017-09-08_CL05_1-cell_9_2.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD006905/2017-09-08_CL05_1-cell_9_2.RAW	1	label free sample	not applicable	not applicable	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2017-09-08_CL07_1-cell_11_2	Danio rerio	Embryo	not available	embryonic stage	not available	not available	Stem cell	cell	single cell	manual picking	2017-09-08_CL07_1-cell_11_2	1	20	2017-09-08_CL07_1-cell_11_2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	2017-09-08_CL07_1-cell_11_2.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD006905/2017-09-08_CL07_1-cell_11_2.RAW	1	label free sample	not applicable	not applicable	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2017-10-29_CL02_Cell3_10252017_1	Danio rerio	Embryo	not available	embryonic stage	not available	not available	Stem cell	cell	single cell	manual picking	2017-10-29_CL02_Cell3_10252017_1	1	21	2017-10-29_CL02_Cell3_10252017_1	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	2017-10-29_CL02_Cell3_10252017_1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD006905/2017-10-29_CL02_Cell3_10252017_1.RAW	1	label free sample	not applicable	not applicable	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2017-11-01_CL03_Cell2_10252017-1	Danio rerio	Embryo	not available	embryonic stage	not available	not available	Stem cell	cell	single cell	manual picking	2017-11-01_CL03_Cell2_10252017-1	1	22	2017-11-01_CL03_Cell2_10252017-1	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	2017-11-01_CL03_Cell2_10252017-1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD006905/2017-11-01_CL03_Cell2_10252017-1.RAW	1	label free sample	not applicable	not applicable	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2016-07-27_CL02_nESI_D11_u-AmmBic_1-1	Danio rerio	Embryo	not available	embryonic stage	not available	not available	Stem cell	cell	single cell	manual picking	2016-07-27_CL02_nESI_D11_u-AmmBic_1-1	1	23	2016-07-27_CL02_nESI_D11_u-AmmBic_1-1	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	2016-07-27_CL02_nESI_D11_u-AmmBic_1-1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD006905/2016-07-27_CL02_nESI_D11_u-AmmBic_1-1.RAW	1	label free sample	not applicable	not applicable	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2017-09-01_CL03_1cell_6_1	Danio rerio	Embryo	not available	embryonic stage	not available	not available	Stem cell	cell	single cell	manual picking	2017-09-01_CL03_1cell_6_1	1	24	2017-09-01_CL03_1cell_6_1	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	2017-09-01_CL03_1cell_6_1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD006905/2017-09-01_CL03_1cell_6_1.RAW	1	label free sample	not applicable	not applicable	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2017-10-16_CL06_Cel6-10112017_2	Danio rerio	Embryo	not available	embryonic stage	not available	not available	Stem cell	cell	single cell	manual picking	2017-10-16_CL06_Cel6-10112017_2	1	25	2017-10-16_CL06_Cel6-10112017_2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	2017-10-16_CL06_Cel6-10112017_2.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD006905/2017-10-16_CL06_Cel6-10112017_2.RAW	1	label free sample	not applicable	not applicable	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2017-10-25_CL03_Cell1_10242017_2	Danio rerio	Embryo	not available	embryonic stage	not available	not available	Stem cell	cell	single cell	manual picking	2017-10-25_CL03_Cell1_10242017_2	1	26	2017-10-25_CL03_Cell1_10242017_2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	2017-10-25_CL03_Cell1_10242017_2.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD006905/2017-10-25_CL03_Cell1_10242017_2.RAW	1	label free sample	not applicable	not applicable	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2016-09-12_CL04_Zebra-cell2_massexcl_3	Danio rerio	Embryo	not available	embryonic stage	not available	not available	Stem cell	cell	single cell	manual picking	2016-09-12_CL04_Zebra-cell2_massexcl_3	1	27	2016-09-12_CL04_Zebra-cell2_massexcl_3	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	2016-09-12_CL04_Zebra-cell2_massexcl_3.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD006905/2016-09-12_CL04_Zebra-cell2_massexcl_3.RAW	1	label free sample	not applicable	not applicable	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2016-12-06_CL04_Zeb_2cells_3-2	Danio rerio	Embryo	not available	embryonic stage	not available	not available	Stem cell	cell	pooled	manual picking	2016-12-06_CL04_Zeb_2cells_3-2	2	28	2016-12-06_CL04_Zeb_2cells_3-2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	2016-12-06_CL04_Zeb_2cells_3-2.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD006905/2016-12-06_CL04_Zeb_2cells_3-2.RAW	1	label free sample	not applicable	not applicable	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2017-10-16_CL02_Cel5-10112017_1	Danio rerio	Embryo	not available	embryonic stage	not available	not available	Stem cell	cell	single cell	manual picking	2017-10-16_CL02_Cel5-10112017_1	1	29	2017-10-16_CL02_Cel5-10112017_1	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	2017-10-16_CL02_Cel5-10112017_1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD006905/2017-10-16_CL02_Cel5-10112017_1.RAW	1	label free sample	not applicable	not applicable	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
