source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[individual]	characteristics[ancestry category]	characteristics[cell type]	characteristics[material type]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[sample preparation batch]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[carrier channel]	comment[reference channel]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[facs nozzle size]	comment[facs sorting mode]	comment[microfluidics chip type]	comment[lcm microscope model]	comment[nanopots chip version]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
20230822_SingleCells_PANC_24	Homo sapiens	Epithelial cell	Pancreatic cancer	not available	not available	not available	not available	not available	Epithelial cell	cell	single cell	not applicable	20230822_SingleCells_PANC_24	1	11	20230822_SingleCells_PANC_24	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20230822_SingleCells_PANC_24.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PXD055915/20230822_SingleCells_PANC_24.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20230822_Bulk_HPDE_2	Homo sapiens	Epithelial cell	Pancreatic cancer	not available	not available	not available	not available	not available	Epithelial cell	cell	bulk control	not applicable	20230822_Bulk_HPDE_2	not applicable	12	20230822_Bulk_HPDE_2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20230822_Bulk_HPDE_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PXD055915/20230822_Bulk_HPDE_2.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20230822_SingleCells_MIA_27	Homo sapiens	Epithelial cell	Pancreatic cancer	not available	not available	not available	not available	not available	Epithelial cell	cell	single cell	not applicable	20230822_SingleCells_MIA_27	1	13	20230822_SingleCells_MIA_27	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20230822_SingleCells_MIA_27.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PXD055915/20230822_SingleCells_MIA_27.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20230822_SingleCells_MIA_26	Homo sapiens	Epithelial cell	Pancreatic cancer	not available	not available	not available	not available	not available	Epithelial cell	cell	single cell	not applicable	20230822_SingleCells_MIA_26	1	14	20230822_SingleCells_MIA_26	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20230822_SingleCells_MIA_26.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PXD055915/20230822_SingleCells_MIA_26.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20230822_Bulk_AsPc_4	Homo sapiens	Epithelial cell	Pancreatic cancer	not available	not available	not available	not available	not available	Epithelial cell	cell	bulk control	not applicable	20230822_Bulk_AsPc_4	not applicable	15	20230822_Bulk_AsPc_4	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20230822_Bulk_AsPc_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PXD055915/20230822_Bulk_AsPc_4.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20230406_PNAC1_single_cells_TGFb_D7_10	Homo sapiens	Epithelial cell	Pancreatic cancer	not available	not available	not available	not available	not available	Epithelial cell	cell	single cell	not applicable	20230406_PNAC1_single_cells_TGFb_D7_10	1	16	20230406_PNAC1_single_cells_TGFb_D7_10	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20230406_PNAC1_single_cells_TGFb_D7_10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PXD055915/20230406_PNAC1_single_cells_TGFb_D7_10.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20230822_SingleCells_AsPc_15	Homo sapiens	Epithelial cell	Pancreatic cancer	not available	not available	not available	not available	not available	Epithelial cell	cell	single cell	not applicable	20230822_SingleCells_AsPc_15	1	17	20230822_SingleCells_AsPc_15	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20230822_SingleCells_AsPc_15.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PXD055915/20230822_SingleCells_AsPc_15.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20230822_SingleCells_HPDE_15	Homo sapiens	Epithelial cell	Pancreatic cancer	not available	not available	not available	not available	not available	Epithelial cell	cell	single cell	not applicable	20230822_SingleCells_HPDE_15	1	18	20230822_SingleCells_HPDE_15	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20230822_SingleCells_HPDE_15.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PXD055915/20230822_SingleCells_HPDE_15.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20230822_SingleCells_AsPc_19	Homo sapiens	Epithelial cell	Pancreatic cancer	not available	not available	not available	not available	not available	Epithelial cell	cell	single cell	not applicable	20230822_SingleCells_AsPc_19	1	19	20230822_SingleCells_AsPc_19	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20230822_SingleCells_AsPc_19.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PXD055915/20230822_SingleCells_AsPc_19.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20230822_SingleCells_AsPc_22	Homo sapiens	Epithelial cell	Pancreatic cancer	not available	not available	not available	not available	not available	Epithelial cell	cell	single cell	not applicable	20230822_SingleCells_AsPc_22	1	20	20230822_SingleCells_AsPc_22	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20230822_SingleCells_AsPc_22.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PXD055915/20230822_SingleCells_AsPc_22.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20230630_PNAC1_ConD1_5	Homo sapiens	Epithelial cell	Pancreatic cancer	not available	not available	not available	not available	not available	Epithelial cell	cell	single cell	not applicable	20230630_PNAC1_ConD1_5	1	21	20230630_PNAC1_ConD1_5	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20230630_PNAC1_ConD1_5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PXD055915/20230630_PNAC1_ConD1_5.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20230406_PNAC1_single_cells_TGFb_D3_4	Homo sapiens	Epithelial cell	Pancreatic cancer	not available	not available	not available	not available	not available	Epithelial cell	cell	single cell	not applicable	20230406_PNAC1_single_cells_TGFb_D3_4	1	22	20230406_PNAC1_single_cells_TGFb_D3_4	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20230406_PNAC1_single_cells_TGFb_D3_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PXD055915/20230406_PNAC1_single_cells_TGFb_D3_4.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20230822_Bulk_HPDE_3	Homo sapiens	Epithelial cell	Pancreatic cancer	not available	not available	not available	not available	not available	Epithelial cell	cell	bulk control	not applicable	20230822_Bulk_HPDE_3	not applicable	23	20230822_Bulk_HPDE_3	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20230822_Bulk_HPDE_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PXD055915/20230822_Bulk_HPDE_3.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20230822_SingleCells_PANC_25	Homo sapiens	Epithelial cell	Pancreatic cancer	not available	not available	not available	not available	not available	Epithelial cell	cell	single cell	not applicable	20230822_SingleCells_PANC_25	1	24	20230822_SingleCells_PANC_25	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20230822_SingleCells_PANC_25.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PXD055915/20230822_SingleCells_PANC_25.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20230822_SingleCells_PANC_10	Homo sapiens	Epithelial cell	Pancreatic cancer	not available	not available	not available	not available	not available	Epithelial cell	cell	single cell	not applicable	20230822_SingleCells_PANC_10	1	25	20230822_SingleCells_PANC_10	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20230822_SingleCells_PANC_10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PXD055915/20230822_SingleCells_PANC_10.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20230822_SingleCells_PANC_22	Homo sapiens	Epithelial cell	Pancreatic cancer	not available	not available	not available	not available	not available	Epithelial cell	cell	single cell	not applicable	20230822_SingleCells_PANC_22	1	26	20230822_SingleCells_PANC_22	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20230822_SingleCells_PANC_22.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PXD055915/20230822_SingleCells_PANC_22.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20230822_SingleCells_AsPc_24	Homo sapiens	Epithelial cell	Pancreatic cancer	not available	not available	not available	not available	not available	Epithelial cell	cell	single cell	not applicable	20230822_SingleCells_AsPc_24	1	27	20230822_SingleCells_AsPc_24	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20230822_SingleCells_AsPc_24.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PXD055915/20230822_SingleCells_AsPc_24.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
