source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[material type]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[sample preparation batch]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[carrier channel]	comment[reference channel]	comment[instrument]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[facs nozzle size]	comment[facs sorting mode]	comment[microfluidics chip type]	comment[lcm microscope model]	comment[nanopots chip version]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
2020MK003_EVBO_028_01_CHARGE_30K_1ng	Homo sapiens	not available	not available	not available	HeLa	cell	single cell	not applicable	2020MK003_EVBO_028_01_CHARGE_30K_1ng	1	11	2020MK003_EVBO_028_01_CHARGE_30K_1ng	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	2020MK003_EVBO_028_01_CHARGE_30K_1ng.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD025766/2020MK003_EVBO_028_01_CHARGE_30K_1ng.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	not applicable	NT=HCD;AC=MS:1002481	28% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2020MK006_EVBO_07_01_100x4_NORMAL_10ng	Homo sapiens	not available	not available	not available	HeLa	cell	single cell	not applicable	2020MK006_EVBO_07_01_100x4_NORMAL_10ng	1	12	2020MK006_EVBO_07_01_100x4_NORMAL_10ng	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	2020MK006_EVBO_07_01_100x4_NORMAL_10ng.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD025766/2020MK006_EVBO_07_01_100x4_NORMAL_10ng.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	not applicable	NT=HCD;AC=MS:1002481	28% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2020MK002_EVBO_009_02_Dil1_100_DIA_40x10_7-5K	Homo sapiens	not available	not available	not available	HeLa	cell	single cell	not applicable	2020MK002_EVBO_009_02_Dil1_100_DIA_40x10_7-5K	1	13	2020MK002_EVBO_009_02_Dil1_100_DIA_40x10_7-5K	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	2020MK002_EVBO_009_02_Dil1_100_DIA_40x10_7-5K.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD025766/2020MK002_EVBO_009_02_Dil1_100_DIA_40x10_7-5K.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	not applicable	NT=HCD;AC=MS:1002481	28% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2020MK006_EVBO_15_02_100x4_NORMAL_1ug	Homo sapiens	not available	not available	not available	HeLa	cell	single cell	not applicable	2020MK006_EVBO_15_02_100x4_NORMAL_1ug	1	14	2020MK006_EVBO_15_02_100x4_NORMAL_1ug	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	2020MK006_EVBO_15_02_100x4_NORMAL_1ug.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD025766/2020MK006_EVBO_15_02_100x4_NORMAL_1ug.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	not applicable	NT=HCD;AC=MS:1002481	28% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2020MK006_EVBO_05_01_40X10_30K_10ng	Homo sapiens	not available	not available	not available	HeLa	cell	single cell	not applicable	2020MK006_EVBO_05_01_40X10_30K_10ng	1	15	2020MK006_EVBO_05_01_40X10_30K_10ng	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	2020MK006_EVBO_05_01_40X10_30K_10ng.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD025766/2020MK006_EVBO_05_01_40X10_30K_10ng.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	not applicable	NT=HCD;AC=MS:1002481	28% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2020MK003_CHARGE_EVBO_032_01_CHARGE_TURBO_1ng	Homo sapiens	not available	not available	not available	HeLa	cell	single cell	not applicable	2020MK003_CHARGE_EVBO_032_01_CHARGE_TURBO_1ng	1	16	2020MK003_CHARGE_EVBO_032_01_CHARGE_TURBO_1ng	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	2020MK003_CHARGE_EVBO_032_01_CHARGE_TURBO_1ng.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD025766/2020MK003_CHARGE_EVBO_032_01_CHARGE_TURBO_1ng.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	not applicable	NT=HCD;AC=MS:1002481	28% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2020MK003_EVBO_001_02B_40X10_30K_1ng	Homo sapiens	not available	not available	not available	HeLa	cell	single cell	not applicable	2020MK003_EVBO_001_02B_40X10_30K_1ng	1	17	2020MK003_EVBO_001_02B_40X10_30K_1ng	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	2020MK003_EVBO_001_02B_40X10_30K_1ng.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD025766/2020MK003_EVBO_001_02B_40X10_30K_1ng.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	not applicable	NT=HCD;AC=MS:1002481	28% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2020MK003_EVBO_028_02_CHARGE_30K_1ng	Homo sapiens	not available	not available	not available	HeLa	cell	single cell	not applicable	2020MK003_EVBO_028_02_CHARGE_30K_1ng	1	18	2020MK003_EVBO_028_02_CHARGE_30K_1ng	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	2020MK003_EVBO_028_02_CHARGE_30K_1ng.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD025766/2020MK003_EVBO_028_02_CHARGE_30K_1ng.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	not applicable	NT=HCD;AC=MS:1002481	28% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2020MK006_EVBO_14_03_40X10_NORMAL_1ug	Homo sapiens	not available	not available	not available	HeLa	cell	single cell	not applicable	2020MK006_EVBO_14_03_40X10_NORMAL_1ug	1	19	2020MK006_EVBO_14_03_40X10_NORMAL_1ug	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	2020MK006_EVBO_14_03_40X10_NORMAL_1ug.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD025766/2020MK006_EVBO_14_03_40X10_NORMAL_1ug.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	not applicable	NT=HCD;AC=MS:1002481	28% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2020MK003_EVBO_021_01_40X10_NORMAL_10ng	Homo sapiens	not available	not available	not available	HeLa	cell	single cell	not applicable	2020MK003_EVBO_021_01_40X10_NORMAL_10ng	1	20	2020MK003_EVBO_021_01_40X10_NORMAL_10ng	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	2020MK003_EVBO_021_01_40X10_NORMAL_10ng.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD025766/2020MK003_EVBO_021_01_40X10_NORMAL_10ng.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	not applicable	NT=HCD;AC=MS:1002481	28% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2020MK006_EVBO_13_02_40X10_30K_1ug	Homo sapiens	not available	not available	not available	HeLa	cell	single cell	not applicable	2020MK006_EVBO_13_02_40X10_30K_1ug	1	21	2020MK006_EVBO_13_02_40X10_30K_1ug	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	2020MK006_EVBO_13_02_40X10_30K_1ug.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD025766/2020MK006_EVBO_13_02_40X10_30K_1ug.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	not applicable	NT=HCD;AC=MS:1002481	28% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2020MK002_EVBO_006_01_Dil1_1000_DIA_40x10_RAPID	Homo sapiens	not available	not available	not available	HeLa	cell	single cell	not applicable	2020MK002_EVBO_006_01_Dil1_1000_DIA_40x10_RAPID	1	22	2020MK002_EVBO_006_01_Dil1_1000_DIA_40x10_RAPID	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	2020MK002_EVBO_006_01_Dil1_1000_DIA_40x10_RAPID.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD025766/2020MK002_EVBO_006_01_Dil1_1000_DIA_40x10_RAPID.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	not applicable	NT=HCD;AC=MS:1002481	28% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2020MK002_EVBO_001_03_Dil1_10_DIA_40x10_30K	Homo sapiens	not available	not available	not available	HeLa	cell	single cell	not applicable	2020MK002_EVBO_001_03_Dil1_10_DIA_40x10_30K	1	23	2020MK002_EVBO_001_03_Dil1_10_DIA_40x10_30K	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	2020MK002_EVBO_001_03_Dil1_10_DIA_40x10_30K.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD025766/2020MK002_EVBO_001_03_Dil1_10_DIA_40x10_30K.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	not applicable	NT=HCD;AC=MS:1002481	28% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2020MK002_EVBO_006_04_1ug_DIA_40x10_RAPID	Homo sapiens	not available	not available	not available	HeLa	cell	single cell	not applicable	2020MK002_EVBO_006_04_1ug_DIA_40x10_RAPID	1	24	2020MK002_EVBO_006_04_1ug_DIA_40x10_RAPID	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	2020MK002_EVBO_006_04_1ug_DIA_40x10_RAPID.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD025766/2020MK002_EVBO_006_04_1ug_DIA_40x10_RAPID.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	not applicable	NT=HCD;AC=MS:1002481	28% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2020MK003_CHARGE_EVBO_032_02_CHARGE_TURBO_1ng	Homo sapiens	not available	not available	not available	HeLa	cell	single cell	not applicable	2020MK003_CHARGE_EVBO_032_02_CHARGE_TURBO_1ng	1	25	2020MK003_CHARGE_EVBO_032_02_CHARGE_TURBO_1ng	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	2020MK003_CHARGE_EVBO_032_02_CHARGE_TURBO_1ng.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD025766/2020MK003_CHARGE_EVBO_032_02_CHARGE_TURBO_1ng.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	not applicable	NT=HCD;AC=MS:1002481	28% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2020MK003_CHARGE_EVBO_032_03_CHARGE_TURBO_1ng	Homo sapiens	not available	not available	not available	HeLa	cell	single cell	not applicable	2020MK003_CHARGE_EVBO_032_03_CHARGE_TURBO_1ng	1	26	2020MK003_CHARGE_EVBO_032_03_CHARGE_TURBO_1ng	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	2020MK003_CHARGE_EVBO_032_03_CHARGE_TURBO_1ng.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD025766/2020MK003_CHARGE_EVBO_032_03_CHARGE_TURBO_1ng.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	not applicable	NT=HCD;AC=MS:1002481	28% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2020MK003_EVBO_010_01_100X4_TURBO_1ng	Homo sapiens	not available	not available	not available	HeLa	cell	single cell	not applicable	2020MK003_EVBO_010_01_100X4_TURBO_1ng	1	27	2020MK003_EVBO_010_01_100X4_TURBO_1ng	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	2020MK003_EVBO_010_01_100X4_TURBO_1ng.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD025766/2020MK003_EVBO_010_01_100X4_TURBO_1ng.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	not applicable	NT=HCD;AC=MS:1002481	28% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2020MK002_EVBO_009_01_Dil1_1000_DIA_40x10_7-5K	Homo sapiens	not available	not available	not available	HeLa	cell	single cell	not applicable	2020MK002_EVBO_009_01_Dil1_1000_DIA_40x10_7-5K	1	28	2020MK002_EVBO_009_01_Dil1_1000_DIA_40x10_7-5K	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	2020MK002_EVBO_009_01_Dil1_1000_DIA_40x10_7-5K.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD025766/2020MK002_EVBO_009_01_Dil1_1000_DIA_40x10_7-5K.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	not applicable	NT=HCD;AC=MS:1002481	28% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
