source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[sample preparation batch]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[carrier channel]	comment[reference channel]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[facs nozzle size]	comment[facs sorting mode]	comment[microfluidics chip type]	comment[lcm microscope model]	comment[nanopots chip version]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
20221019_Ec_01_SC_CNIC-KI_TMT91	Mus musculus	Cardiac muscle cell	not available	Cardiac muscle cell	cell	single cell	FACS	20221019_Ec_01_SC_CNIC-KI_TMT91	1	11	20221019_Ec_01_SC_CNIC-KI_TMT91	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221019_Ec_01_SC_CNIC-KI_TMT91.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD064501/20221019_Ec_01_SC_CNIC-KI_TMT91.raw	1	not available	not available	not available	NT=Orbitrap Eclipse;AC=MS:1003029	not applicable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20221019_Ec_01_SC_CNIC-KI_TMT93_2	Mus musculus	Cardiac muscle cell	not available	Cardiac muscle cell	cell	single cell	FACS	20221019_Ec_01_SC_CNIC-KI_TMT93_2	1	12	20221019_Ec_01_SC_CNIC-KI_TMT93_2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221019_Ec_01_SC_CNIC-KI_TMT93.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD064501/20221019_Ec_01_SC_CNIC-KI_TMT93.raw	1	not available	not available	not available	NT=Orbitrap Eclipse;AC=MS:1003029	not applicable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20221019_Ec_01_SC_CNIC-KI_TMT89_2	Mus musculus	Cardiac muscle cell	not available	Cardiac muscle cell	cell	single cell	FACS	20221019_Ec_01_SC_CNIC-KI_TMT89_2	1	13	20221019_Ec_01_SC_CNIC-KI_TMT89_2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221019_Ec_01_SC_CNIC-KI_TMT89.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD064501/20221019_Ec_01_SC_CNIC-KI_TMT89.raw	1	not available	not available	not available	NT=Orbitrap Eclipse;AC=MS:1003029	not applicable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20221019_Ec_01_SC_CNIC-KI_TMT85_2	Mus musculus	Cardiac muscle cell	not available	Cardiac muscle cell	cell	single cell	FACS	20221019_Ec_01_SC_CNIC-KI_TMT85_2	1	14	20221019_Ec_01_SC_CNIC-KI_TMT85_2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221019_Ec_01_SC_CNIC-KI_TMT85.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD064501/20221019_Ec_01_SC_CNIC-KI_TMT85.raw	1	not available	not available	not available	NT=Orbitrap Eclipse;AC=MS:1003029	not applicable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20221019_Ec_01_SC_CNIC-KI_TMT96_2	Mus musculus	Cardiac muscle cell	not available	Cardiac muscle cell	cell	single cell	FACS	20221019_Ec_01_SC_CNIC-KI_TMT96_2	1	15	20221019_Ec_01_SC_CNIC-KI_TMT96_2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221019_Ec_01_SC_CNIC-KI_TMT96.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD064501/20221019_Ec_01_SC_CNIC-KI_TMT96.raw	1	not available	not available	not available	NT=Orbitrap Eclipse;AC=MS:1003029	not applicable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20221019_Ec_01_SC_CNIC-KI_TMT90_2	Mus musculus	Cardiac muscle cell	not available	Cardiac muscle cell	cell	single cell	FACS	20221019_Ec_01_SC_CNIC-KI_TMT90_2	1	16	20221019_Ec_01_SC_CNIC-KI_TMT90_2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221019_Ec_01_SC_CNIC-KI_TMT90.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD064501/20221019_Ec_01_SC_CNIC-KI_TMT90.raw	1	not available	not available	not available	NT=Orbitrap Eclipse;AC=MS:1003029	not applicable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20221019_Ec_01_SC_CNIC-KI_TMT95	Mus musculus	Cardiac muscle cell	not available	Cardiac muscle cell	cell	single cell	FACS	20221019_Ec_01_SC_CNIC-KI_TMT95	1	17	20221019_Ec_01_SC_CNIC-KI_TMT95	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221019_Ec_01_SC_CNIC-KI_TMT95.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD064501/20221019_Ec_01_SC_CNIC-KI_TMT95.raw	1	not available	not available	not available	NT=Orbitrap Eclipse;AC=MS:1003029	not applicable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20221019_Ec_01_SC_CNIC-KI_TMT94	Mus musculus	Cardiac muscle cell	not available	Cardiac muscle cell	cell	single cell	FACS	20221019_Ec_01_SC_CNIC-KI_TMT94	1	18	20221019_Ec_01_SC_CNIC-KI_TMT94	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221019_Ec_01_SC_CNIC-KI_TMT94.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD064501/20221019_Ec_01_SC_CNIC-KI_TMT94.mzML	1	not available	not available	not available	NT=Orbitrap Eclipse;AC=MS:1003029	not applicable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20221019_Ec_01_SC_CNIC-KI_TMT84_2	Mus musculus	Cardiac muscle cell	not available	Cardiac muscle cell	cell	single cell	FACS	20221019_Ec_01_SC_CNIC-KI_TMT84_2	1	19	20221019_Ec_01_SC_CNIC-KI_TMT84_2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221019_Ec_01_SC_CNIC-KI_TMT84.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD064501/20221019_Ec_01_SC_CNIC-KI_TMT84.raw	1	not available	not available	not available	NT=Orbitrap Eclipse;AC=MS:1003029	not applicable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20221019_Ec_01_SC_CNIC-KI_TMT87_2	Mus musculus	Cardiac muscle cell	not available	Cardiac muscle cell	cell	single cell	FACS	20221019_Ec_01_SC_CNIC-KI_TMT87_2	1	20	20221019_Ec_01_SC_CNIC-KI_TMT87_2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221019_Ec_01_SC_CNIC-KI_TMT87.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD064501/20221019_Ec_01_SC_CNIC-KI_TMT87.mzML	1	not available	not available	not available	NT=Orbitrap Eclipse;AC=MS:1003029	not applicable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20221019_Ec_01_SC_CNIC-KI_TMT94_2	Mus musculus	Cardiac muscle cell	not available	Cardiac muscle cell	cell	single cell	FACS	20221019_Ec_01_SC_CNIC-KI_TMT94_2	1	21	20221019_Ec_01_SC_CNIC-KI_TMT94_2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221019_Ec_01_SC_CNIC-KI_TMT94.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD064501/20221019_Ec_01_SC_CNIC-KI_TMT94.raw	1	not available	not available	not available	NT=Orbitrap Eclipse;AC=MS:1003029	not applicable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20221019_Ec_01_SC_CNIC-KI_TMT92_2	Mus musculus	Cardiac muscle cell	not available	Cardiac muscle cell	cell	single cell	FACS	20221019_Ec_01_SC_CNIC-KI_TMT92_2	1	22	20221019_Ec_01_SC_CNIC-KI_TMT92_2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221019_Ec_01_SC_CNIC-KI_TMT92.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD064501/20221019_Ec_01_SC_CNIC-KI_TMT92.mzML	1	not available	not available	not available	NT=Orbitrap Eclipse;AC=MS:1003029	not applicable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20221019_Ec_01_SC_CNIC-KI_TMT98	Mus musculus	Cardiac muscle cell	not available	Cardiac muscle cell	cell	single cell	FACS	20221019_Ec_01_SC_CNIC-KI_TMT98	1	23	20221019_Ec_01_SC_CNIC-KI_TMT98	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221019_Ec_01_SC_CNIC-KI_TMT98.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD064501/20221019_Ec_01_SC_CNIC-KI_TMT98.raw	1	not available	not available	not available	NT=Orbitrap Eclipse;AC=MS:1003029	not applicable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20221019_Ec_01_SC_CNIC-KI_TMT97_2	Mus musculus	Cardiac muscle cell	not available	Cardiac muscle cell	cell	single cell	FACS	20221019_Ec_01_SC_CNIC-KI_TMT97_2	1	24	20221019_Ec_01_SC_CNIC-KI_TMT97_2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221019_Ec_01_SC_CNIC-KI_TMT97.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD064501/20221019_Ec_01_SC_CNIC-KI_TMT97.mzML	1	not available	not available	not available	NT=Orbitrap Eclipse;AC=MS:1003029	not applicable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20221019_Ec_01_SC_CNIC-KI_TMT91_2	Mus musculus	Cardiac muscle cell	not available	Cardiac muscle cell	cell	single cell	FACS	20221019_Ec_01_SC_CNIC-KI_TMT91_2	1	25	20221019_Ec_01_SC_CNIC-KI_TMT91_2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221019_Ec_01_SC_CNIC-KI_TMT91.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD064501/20221019_Ec_01_SC_CNIC-KI_TMT91.mzML	1	not available	not available	not available	NT=Orbitrap Eclipse;AC=MS:1003029	not applicable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20221019_Ec_01_SC_CNIC-KI_TMT98_2	Mus musculus	Cardiac muscle cell	not available	Cardiac muscle cell	cell	single cell	FACS	20221019_Ec_01_SC_CNIC-KI_TMT98_2	1	26	20221019_Ec_01_SC_CNIC-KI_TMT98_2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221019_Ec_01_SC_CNIC-KI_TMT98.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD064501/20221019_Ec_01_SC_CNIC-KI_TMT98.mzML	1	not available	not available	not available	NT=Orbitrap Eclipse;AC=MS:1003029	not applicable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20221019_Ec_01_SC_CNIC-KI_TMT95_2	Mus musculus	Cardiac muscle cell	not available	Cardiac muscle cell	cell	single cell	FACS	20221019_Ec_01_SC_CNIC-KI_TMT95_2	1	27	20221019_Ec_01_SC_CNIC-KI_TMT95_2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221019_Ec_01_SC_CNIC-KI_TMT95.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD064501/20221019_Ec_01_SC_CNIC-KI_TMT95.mzML	1	not available	not available	not available	NT=Orbitrap Eclipse;AC=MS:1003029	not applicable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20221019_Ec_01_SC_CNIC-KI_TMT88_2	Mus musculus	Cardiac muscle cell	not available	Cardiac muscle cell	cell	single cell	FACS	20221019_Ec_01_SC_CNIC-KI_TMT88_2	1	28	20221019_Ec_01_SC_CNIC-KI_TMT88_2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221019_Ec_01_SC_CNIC-KI_TMT88.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD064501/20221019_Ec_01_SC_CNIC-KI_TMT88.raw	1	not available	not available	not available	NT=Orbitrap Eclipse;AC=MS:1003029	not applicable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
